DATE,SET50,SET50_TRI
2/1/2013,954.41,
3/1/2013,953.05,
4/1/2013,958.42,
7/1/2013,956.17,
8/1/2013,956.61,
9/1/2013,959.45,
10/1/2013,947.1,
11/1/2013,950.08,
14/1/2013,957.21,
15/1/2013,953.81,
16/1/2013,946.73,
17/1/2013,949.84,
18/1/2013,959.56,
21/1/2013,963.1,
22/1/2013,960.22,
23/1/2013,965.24,
24/1/2013,969.81,
25/1/2013,977.53,
28/1/2013,984.52,
29/1/2013,989.92,
30/1/2013,1000.25,
31/1/2013,988.21,
1/2/2013,1005.09,
4/2/2013,1009.27,
5/2/2013,1007.88,
6/2/2013,1001.02,
7/2/2013,999.93,
8/2/2013,995.9,
11/2/2013,986.18,
12/2/2013,983.68,
13/2/2013,1004.05,
14/2/2013,1012.43,
15/2/2013,1006.06,
18/2/2013,1004.82,
19/2/2013,1011.33,
20/2/2013,1021.05,
21/2/2013,1007.13,
22/2/2013,1014.25,
26/2/2013,1004.67,
27/2/2013,994.37,
28/2/2013,1014.03,
1/3/2013,1013.15,
4/3/2013,1014.2,
5/3/2013,1018.94,
6/3/2013,1024.14,
7/3/2013,1022.64,
8/3/2013,1025.72,
11/3/2013,1032.33,
12/3/2013,1032.74,
13/3/2013,1033.34,
14/3/2013,1038.12,
15/3/2013,1045.26,
18/3/2013,1041.27,
19/3/2013,1029.44,
20/3/2013,1016.01,
21/3/2013,1008.14,
22/3/2013,977.04,
25/3/2013,1002.43,
26/3/2013,1015.99,
27/3/2013,1025.96,
28/3/2013,1014.98,
29/3/2013,1024.92,
1/4/2013,1017.35,
2/4/2013,1021.89,
3/4/2013,1004.67,
4/4/2013,1010.71,
5/4/2013,982.48,
9/4/2013,971.41,
10/4/2013,984.77,
11/4/2013,1002.02,
12/4/2013,1007.45,
17/4/2013,1003.73,
18/4/2013,1008.83,
19/4/2013,1018.36,
22/4/2013,1027.92,
23/4/2013,1021.18,
24/4/2013,1024.94,
25/4/2013,1039.46,
26/4/2013,1044.82,
29/4/2013,1046.12,
30/4/2013,1055.62,
2/5/2013,1050.48,
3/5/2013,1042.7,
7/5/2013,1061.37,
8/5/2013,1071.05,
9/5/2013,1075.95,
10/5/2013,1076.13,
13/5/2013,1071.68,
14/5/2013,1074.35,
15/5/2013,1081.13,
16/5/2013,1072.89,
17/5/2013,1079.78,
20/5/2013,1092.27,
21/5/2013,1091.2,
22/5/2013,1081.69,
23/5/2013,1064.49,
27/5/2013,1053.5,
28/5/2013,1072.57,
29/5/2013,1058.59,
30/5/2013,1044.4,
31/5/2013,1029.01,
3/6/2013,1015.37,
4/6/2013,1028.91,
5/6/2013,1005.65,
6/6/2013,989,
7/6/2013,1007.39,
10/6/2013,1014.27,
11/6/2013,962.73,
12/6/2013,950.87,
13/6/2013,938.26,
14/6/2013,978.87,
17/6/2013,982.16,
18/6/2013,950.53,
19/6/2013,960.32,
20/6/2013,937.44,
21/6/2013,940.65,
24/6/2013,916.55,
25/6/2013,934.24,
26/6/2013,961.98,
27/6/2013,978.96,
28/6/2013,982.99,
2/7/2013,992,
3/7/2013,977,
4/7/2013,969,
5/7/2013,977.53,
8/7/2013,952.19,
9/7/2013,949.11,
10/7/2013,946.66,
11/7/2013,989.22,
12/7/2013,991.6,
15/7/2013,989.99,
16/7/2013,986.45,
